x	y	z
0.545345	0.970670	0.224124
0.546146	0.968250	0.223578
0.546947	0.965753	0.223031
0.547748	0.963180	0.222483
0.548549	0.960535	0.221934
0.549349	0.957819	0.221385
0.550150	0.955035	0.220834
0.550951	0.952184	0.220283
0.551752	0.949270	0.219731
0.552553	0.946294	0.219179
0.553353	0.943259	0.218625
0.554154	0.940167	0.218071
0.554955	0.937019	0.217516
0.555756	0.933819	0.216960
0.556557	0.930568	0.216403
0.557357	0.927268	0.215845
0.558158	0.923921	0.215287
0.558959	0.920529	0.214728
0.559760	0.917094	0.214168
0.560561	0.913619	0.213607
0.561361	0.910104	0.213046
0.562162	0.906552	0.212484
0.562963	0.902964	0.211920
0.563764	0.899343	0.211357
0.564565	0.895689	0.210792
0.565365	0.892004	0.210226
0.566166	0.888291	0.209660
0.566967	0.884550	0.209093
0.567768	0.880783	0.208525
0.568569	0.876990	0.207956
0.569369	0.873175	0.207387
0.570170	0.869337	0.206816
0.570971	0.865479	0.206245
0.571772	0.861601	0.205673
0.572573	0.857704	0.205100
0.573373	0.853790	0.204527
0.574174	0.849859	0.203953
0.574975	0.845912	0.203377
0.575776	0.841951	0.202801
0.576577	0.837976	0.202225
0.577377	0.833988	0.201647
0.578178	0.829988	0.201069
0.578979	0.825976	0.200490
0.579780	0.821954	0.199910
0.580581	0.817921	0.199329
0.581381	0.813878	0.198747
0.582182	0.809827	0.198165
0.582983	0.805766	0.197582
0.583784	0.801698	0.196998
0.584585	0.797621	0.196413
0.585385	0.793538	0.195827
0.586186	0.789447	0.195241
0.586987	0.785349	0.194654
0.587788	0.781245	0.194066
0.588589	0.777135	0.193477
0.589389	0.773018	0.192888
0.590190	0.768896	0.192297
0.590991	0.764768	0.191706
0.591792	0.760634	0.191114
0.592593	0.756495	0.190521
0.593393	0.752350	0.189928
0.594194	0.748200	0.189333
0.594995	0.744044	0.188738
0.595796	0.739884	0.188142
0.596597	0.735718	0.187545
0.597397	0.731546	0.186948
0.598198	0.727370	0.186349
0.598999	0.723188	0.185750
0.599800	0.719001	0.185150
0.600601	0.714809	0.184549
0.601401	0.710611	0.183948
0.602202	0.706408	0.183345
0.603003	0.702199	0.182742
0.603804	0.697985	0.182138
0.604605	0.693765	0.181533
0.605405	0.689539	0.180928
0.606206	0.685308	0.180321
0.607007	0.681071	0.179714
0.607808	0.676829	0.179106
0.608609	0.672580	0.178497
0.609409	0.668326	0.177888
0.610210	0.664066	0.177277
0.611011	0.659800	0.176666
0.611812	0.655528	0.176054
0.612613	0.651250	0.175441
0.613413	0.646966	0.174827
0.614214	0.642677	0.174213
0.615015	0.638381	0.173598
0.615816	0.634080	0.172982
0.616617	0.629773	0.172365
0.617417	0.625461	0.171747
0.618218	0.621143	0.171129
0.619019	0.616819	0.170510
0.619820	0.612490	0.169890
0.620621	0.608156	0.169269
0.621421	0.603816	0.168647
0.622222	0.599471	0.168025
0.623023	0.595122	0.167401
0.623824	0.590768	0.166777
0.624625	0.586409	0.166153
0.625425	0.582046	0.165527
0.626226	0.577679	0.164900
0.627027	0.573308	0.164273
0.627828	0.568933	0.163645
0.628629	0.564555	0.163016
0.629429	0.560174	0.162387
0.630230	0.555790	0.161756
0.631031	0.551403	0.161125
0.631832	0.547014	0.160493
0.632633	0.542623	0.159860
0.633433	0.538230	0.159226
0.634234	0.533836	0.158592
0.635035	0.529441	0.157957
0.635836	0.525046	0.157320
0.636637	0.520650	0.156684
0.637437	0.516254	0.156046
0.638238	0.511859	0.155407
0.639039	0.507464	0.154768
0.639840	0.503071	0.154128
0.640641	0.498679	0.153487
0.641441	0.494290	0.152846
0.642242	0.489903	0.152203
0.643043	0.485519	0.151560
0.643844	0.481138	0.150916
0.644645	0.476761	0.150271
0.645445	0.472389	0.149625
0.646246	0.468021	0.148979
0.647047	0.463658	0.148331
0.647848	0.459301	0.147683
0.648649	0.454950	0.147034
0.649449	0.450606	0.146385
0.650250	0.446269	0.145734
0.651051	0.441939	0.145083
0.651852	0.437617	0.144431
0.652653	0.433304	0.143778
0.653453	0.428999	0.143124
0.654254	0.424704	0.142470
0.655055	0.420419	0.141814
0.655856	0.416144	0.141158
0.656657	0.411881	0.140501
0.657457	0.407628	0.139844
0.658258	0.403387	0.139185
0.659059	0.399159	0.138526
0.659860	0.394943	0.137866
0.660661	0.390740	0.137205
0.661461	0.386551	0.136543
0.662262	0.382376	0.135880
0.663063	0.378216	0.135217
0.663864	0.374071	0.134553
0.664665	0.369941	0.133888
0.665465	0.365827	0.133222
0.666266	0.361730	0.132556
0.667067	0.357649	0.131888
0.667868	0.353585	0.131220
0.668669	0.349540	0.130551
0.669469	0.345512	0.129882
0.670270	0.341503	0.129211
0.671071	0.337512	0.128540
0.671872	0.333541	0.127868
0.672673	0.329590	0.127195
0.673473	0.325658	0.126521
0.674274	0.321747	0.125846
0.675075	0.317857	0.125171
0.675876	0.313988	0.124495
0.676677	0.310141	0.123818
0.677477	0.306315	0.123140
0.678278	0.302512	0.122462
0.679079	0.298731	0.121782
0.679880	0.294973	0.121102
0.680681	0.291238	0.120421
0.681481	0.287527	0.119739
0.682282	0.283839	0.119057
0.683083	0.280176	0.118373
0.683884	0.276537	0.117689
0.684685	0.272922	0.117004
0.685485	0.269333	0.116319
0.686286	0.265769	0.115632
0.687087	0.262230	0.114945
0.687888	0.258717	0.114256
0.688689	0.255229	0.113567
0.689489	0.251768	0.112878
0.690290	0.248333	0.112187
0.691091	0.244925	0.111496
0.691892	0.241544	0.110804
0.692693	0.238189	0.110111
0.693493	0.234861	0.109417
0.694294	0.231561	0.108722
0.695095	0.228288	0.108027
0.695896	0.225043	0.107331
0.696697	0.221825	0.106634
0.697497	0.218636	0.105936
0.698298	0.215474	0.105237
0.699099	0.212341	0.104538
0.699900	0.209235	0.103838
0.700701	0.206158	0.103137
0.701502	0.203110	0.102435
0.702302	0.200090	0.101732
0.703103	0.197098	0.101029
0.703904	0.194136	0.100325
0.704705	0.191201	0.099620
0.705506	0.188296	0.098914
0.706306	0.185420	0.098207
0.707107	0.182572	0.097500
0.707908	0.179753	0.096791
0.708709	0.176963	0.096082
0.709510	0.174202	0.095373
0.710310	0.171470	0.094662
0.711111	0.168767	0.093951
0.711912	0.166093	0.093238
0.712713	0.163448	0.092525
0.713514	0.160832	0.091812
0.714314	0.158244	0.091097
0.715115	0.155686	0.090381
0.715916	0.153156	0.089665
0.716717	0.150655	0.088948
0.717518	0.148182	0.088230
0.718318	0.145738	0.087512
0.719119	0.143323	0.086792
0.719920	0.140936	0.086072
0.720721	0.138578	0.085351
0.721522	0.136248	0.084629
0.722322	0.133946	0.083907
0.723123	0.131673	0.083183
0.723924	0.129427	0.082459
0.724725	0.127209	0.081734
0.725526	0.125019	0.081008
0.726326	0.122857	0.080281
0.727127	0.120723	0.079554
0.727928	0.118615	0.078826
0.728729	0.116536	0.078097
0.729530	0.114483	0.077367
0.730330	0.112457	0.076636
0.731131	0.110459	0.075905
0.731932	0.108487	0.075172
0.732733	0.106541	0.074439
0.733534	0.104623	0.073705
0.734334	0.102730	0.072971
0.735135	0.100863	0.072235
0.735936	0.099023	0.071499
0.736737	0.097208	0.070762
0.737538	0.095419	0.070024
0.738338	0.093655	0.069285
0.739139	0.091917	0.068546
0.739940	0.090203	0.067806
0.740741	0.088515	0.067064
0.741542	0.086851	0.066323
0.742342	0.085211	0.065580
0.743143	0.083596	0.064836
0.743944	0.082005	0.064092
0.744745	0.080438	0.063347
